"","playerID","yearID","ballots","needed","votes","inducted","category","name_given","name_nick"
"87","mcveyca01",1936,78,59,1,"N","Player","Calvin Alexander",""
"88","paborch01",1936,78,59,1,"N","Player","Charles Henry",""
"89","pikeli01",1936,78,59,1,"N","Player","Lipman Emanuel",""
"90","remseja01",1936,78,59,1,"N","Player","John Jay",""
"91","richaha01",1936,78,59,1,"N","Player","Abram Harding","Old True Blue"
"92","tennefr02",1936,78,59,1,"N","Player","Frederick",""
"93","vanhage01",1936,78,59,1,"N","Player","George Edward Martin","Rip"
"94","wallabo01",1936,78,59,1,"N","Player","Roderick John",""
"95","whitede01",1936,78,59,1,"N","Player","James Laurie",""
"96","bakerfr01",1936,226,170,1,"N","Player","John Franklin",""
"97","bradlbi01",1936,226,170,1,"N","Player","William Joseph",""
"98","clarkfr01",1936,226,170,1,"N","Player","Fred Clifford","Cap"
"99","crawfsa01",1936,226,170,1,"N","Player","Samuel Earl","Wahoo Sam"
"100","elberki01",1936,226,170,1,"N","Player","Norman Arthur","The Tabasco Kid"
"101","mackco01",1936,226,170,1,"N","Player","Cornelius Alexander","The Tall Tactician"
"102","marquru01",1936,226,170,1,"N","Player","Richard William",""
"103","ruckena01",1936,226,170,1,"N","Player","George Napoleon",""
"104","vanceda01",1936,226,170,1,"N","Player","Charles Arthur",""
"105","cummica01",1936,78,59,0,"N","Player","William Arthur",""
"106","flintsi01",1936,78,59,0,"N","Player","Frank Sylvester",""
"107","richmle01",1936,78,59,0,"N","Player","J Lee",""
"108","gehrich01",1936,226,170,0,"N","Player","Charles Leonard","The Mechanical Man"
"109","hartnga01",1936,226,170,0,"N","Player","Charles Leo",""
"110","sullibi03",1936,226,170,0,"N","Player","William Joseph",""
"111","lajoina01",1937,201,151,168,"Y","Player","Napoleon","Larry; Poli"
"112","speaktr01",1937,201,151,165,"Y","Player","Tristram Edgar","The Grey Eagle"
"113","youngcy01",1937,201,151,153,"Y","Player","Denton True",""
"114","alexape01",1937,201,151,125,"N","Player","Grover Cleveland",""
"115","collied01",1937,201,151,115,"N","Player","Edward Trowbridge","Cocky"
"116","keelewi01",1937,201,151,115,"N","Player",NA,NA
