"","player","year","hr"
"2157","eckerde01",1994,0
"2158","glavito02",1994,0
"2159","gossari01",1994,0
"2160","griffke02",1994,40
"2161","gwynnto01",1994,12
"2162","henderi01",1994,6
"2163","hoffmtr01",1994,0
"2164","johnsra05",1994,0
"2165","larkiba01",1994,9
"2166","maddugr01",1994,0
"2167","martipe02",1994,0
"2168","molitpa01",1994,14
"2169","murraed02",1994,17
"2170","piazzmi01",1994,24
"2171","puckeki01",1994,20
"2172","raineti01",1994,10
"2173","ripkeca01",1994,13
"2174","rodriiv01",1994,16
"2175","sandbry01",1994,5
"2176","smithoz01",1994,3
"2177","smoltjo01",1994,1
"2178","thomafr04",1994,38
"2179","thomeji01",1994,20
"2180","winfida01",1994,10
"2181","alomaro01",1995,13
"2182","bagweje01",1995,21
"2183","biggicr01",1995,22
"2184","boggswa01",1995,5
"2185","dawsoan01",1995,8
"2186","eckerde01",1995,0
"2187","glavito02",1995,1
"2188","griffke02",1995,17
"2189","gwynnto01",1995,9
"2190","henderi01",1995,9
"2191","hoffmtr01",1995,0
"2192","johnsra05",1995,0
"2193","jonesch06",1995,23
"2194","larkiba01",1995,15
"2195","maddugr01",1995,0
"2196","martipe02",1995,0
"2197","molitpa01",1995,15
"2198","murraed02",1995,21
"2199","piazzmi01",1995,32
"2200","puckeki01",1995,23
"2201","raineti01",1995,12
"2202","ripkeca01",1995,17
"2203","rodriiv01",1995,12
"2204","smithoz01",1995,0
"2205","smoltjo01",1995,0
"2206","thomafr04",1995,40
"2207","thomeji01",1995,25
"2208","winfida01",1995,2
"2209","alomaro01",1996,22
"2210","bagweje01",1996,31
"2211","biggicr01",1996,15
"2212","boggswa01",1996,2
"2213","dawsoan01",1996,2
"2214","eckerde01",1996,0
"2215","glavito02",1996,0
"2216","griffke02",1996,49
"2217","guerrvl01",1996,1
"2218","gwynnto01",1996,3
"2219","henderi01",1996,9
"2220","hoffmtr01",1996,0
"2221","johnsra05",1996,0
"2222","jonesch06",1996,30
"2223","larkiba01",1996,33
"2224","maddugr01",1996,0
"2225","martipe02",1996,0
"2226","molitpa01",1996,9
"2227","murraed02",1996,12
"2228","murraed02",1996,10
"2229","piazzmi01",1996,36
"2230","raineti01",1996,9
"2231","ripkeca01",1996,26
"2232","rodriiv01",1996,19
"2233","sandbry01",1996,25
"2234","smithoz01",1996,2
"2235","smoltjo01",1996,1
"2236","thomafr04",1996,40
"2237","thomeji01",1996,38
"2238","alomaro01",1997,14
"2239","bagweje01",1997,43
"2240","biggicr01",1997,22
"2241","boggswa01",1997,4
"2242","eckerde01",1997,0
"2243","glavito02",1997,0
"2244","griffke02",1997,56
"2245","guerrvl01",1997,11
"2246","gwynnto01",1997,17
"2247","henderi01",1997,6
"2248","henderi01",1997,2
"2249","hoffmtr01",1997,0
"2250","johnsra05",1997,0
"2251","jonesch06",1997,21
"2252","larkiba01",1997,4
"2253","maddugr01",1997,0
"2254","martipe02",1997,0
"2255","molitpa01",1997,10
"2256","murraed02",1997,3
"2257","murraed02",1997,0
"2258","piazzmi01",1997,40
"2259","raineti01",1997,4
"2260","ripkeca01",1997,17
"2261","rodriiv01",1997,20
"2262","sandbry01",1997,12
"2263","smoltjo01",1997,0
"2264","thomafr04",1997,35
"2265","thomeji01",1997,40
"2266","alomaro01",1998,14
"2267","bagweje01",1998,34
"2268","biggicr01",1998,20
"2269","boggswa01",1998,7
"2270","eckerde01",1998,0
"2271","glavito02",1998,0
"2272","griffke02",1998,56
"2273","guerrvl01",1998,38
"2274","gwynnto01",1998,16
"2275","henderi01",1998,14
"2276","hoffmtr01",1998,0
"2277","johnsra05",1998,0
"2278","johnsra05",1998,0
"2279","jonesch06",1998,34
"2280","larkiba01",1998,17
"2281","maddugr01",1998,0
"2282","martipe02",1998,0
"2283","molitpa01",1998,4
"2284","piazzmi01",1998,9
"2285","piazzmi01",1998,0
"2286","piazzmi01",1998,23
"2287","raineti01",1998,5
"2288","ripkeca01",1998,14
"2289","rodriiv01",1998,21
"2290","smoltjo01",1998,0
"2291","thomafr04",1998,29
"2292","thomeji01",1998,30
"2293","alomaro01",1999,24
"2294","bagweje01",1999,42
"2295","biggicr01",1999,16
"2296","boggswa01",1999,2
"2297","glavito02",1999,0
"2298","griffke02",1999,48
"2299","guerrvl01",1999,42
"2300","gwynnto01",1999,10
"2301","henderi01",1999,12
"2302","hoffmtr01",1999,0
"2303","johnsra05",1999,0
"2304","jonesch06",1999,45
"2305","larkiba01",1999,12
"2306","maddugr01",1999,2
"2307","martipe02",1999,0
"2308","piazzmi01",1999,40
"2309","raineti01",1999,4
"2310","ripkeca01",1999,18
"2311","rodriiv01",1999,35
"2312","smoltjo01",1999,1
"2313","thomafr04",1999,15
"2314","thomeji01",1999,33
"2315","alomaro01",2000,19
"2316","bagweje01",2000,47
"2317","biggicr01",2000,8
"2318","glavito02",2000,0
"2319","griffke02",2000,40
"2320","guerrvl01",2000,44
"2321","gwynnto01",2000,1
"2322","henderi01",2000,0
"2323","henderi01",2000,4
"2324","hoffmtr01",2000,0
"2325","johnsra05",2000,0
"2326","jonesch06",2000,36
"2327","larkiba01",2000,11
"2328","maddugr01",2000,0
"2329","martipe02",2000,0
"2330","piazzmi01",2000,38
"2331","ripkeca01",2000,15
"2332","rodriiv01",2000,27
"2333","thomafr04",2000,43
"2334","thomeji01",2000,37
"2335","alomaro01",2001,20
"2336","bagweje01",2001,39
"2337","biggicr01",2001,20
"2338","glavito02",2001,0
"2339","griffke02",2001,22
"2340","guerrvl01",2001,34
"2341","gwynnto01",2001,1
"2342","henderi01",2001,8
"2343","hoffmtr01",2001,0
"2344","johnsra05",2001,0
"2345","jonesch06",2001,38
"2346","larkiba01",2001,2
"2347","maddugr01",2001,0
"2348","martipe02",2001,0
"2349","piazzmi01",2001,36
"2350","raineti01",2001,0
"2351","raineti01",2001,1
"2352","ripkeca01",2001,14
"2353","rodriiv01",2001,25
"2354","smoltjo01",2001,0
"2355","thomafr04",2001,4
"2356","thomeji01",2001,49
"2357","alomaro01",2002,11
"2358","bagweje01",2002,31
"2359","biggicr01",2002,15
"2360","glavito02",2002,0
"2361","griffke02",2002,8
"2362","guerrvl01",2002,39
"2363","henderi01",2002,5
"2364","hoffmtr01",2002,0
"2365","johnsra05",2002,0
"2366","jonesch06",2002,26
"2367","larkiba01",2002,7
"2368","maddugr01",2002,0
"2369","martipe02",2002,0
"2370","piazzmi01",2002,33
"2371","raineti01",2002,1
"2372","rodriiv01",2002,19
"2373","smoltjo01",2002,0
"2374","thomafr04",2002,28
"2375","thomeji01",2002,52
"2376","alomaro01",2003,2
"2377","alomaro01",2003,3
"2378","bagweje01",2003,39
"2379","biggicr01",2003,15
"2380","glavito02",2003,0
"2381","griffke02",2003,13
"2382","guerrvl01",2003,25
"2383","henderi01",2003,2
"2384","hoffmtr01",2003,0
"2385","johnsra05",2003,1
"2386","jonesch06",2003,27
"2387","larkiba01",2003,2
"2388","maddugr01",2003,0
"2389","martipe02",2003,0
"2390","piazzmi01",2003,11
"2391","rodriiv01",2003,16
"2392","smoltjo01",2003,0
"2393","thomafr04",2003,42
"2394","thomeji01",2003,47
"2395","alomaro01",2004,3
"2396","alomaro01",2004,1
"2397","bagweje01",2004,27
"2398","biggicr01",2004,24
"2399","glavito02",2004,0
"2400","griffke02",2004,20
"2401","guerrvl01",2004,39
"2402","hoffmtr01",2004,0
"2403","johnsra05",2004,0
"2404","jonesch06",2004,30
"2405","larkiba01",2004,8
"2406","maddugr01",2004,0
"2407","martipe02",2004,0
"2408","piazzmi01",2004,20
"2409","rodriiv01",2004,19
"2410","smoltjo01",2004,0
"2411","thomafr04",2004,18
"2412","thomeji01",2004,42
"2413","bagweje01",2005,3
"2414","biggicr01",2005,26
"2415","glavito02",2005,0
"2416","griffke02",2005,35
"2417","guerrvl01",2005,32
"2418","hoffmtr01",2005,0
"2419","johnsra05",2005,0
"2420","jonesch06",2005,21
"2421","maddugr01",2005,1
"2422","martipe02",2005,0
"2423","piazzmi01",2005,19
"2424","rodriiv01",2005,14
"2425","smoltjo01",2005,0
"2426","thomafr04",2005,12
"2427","thomeji01",2005,7
"2428","biggicr01",2006,21
"2429","glavito02",2006,0
"2430","griffke02",2006,27
"2431","guerrvl01",2006,33
"2432","hoffmtr01",2006,0
"2433","johnsra05",2006,0
"2434","jonesch06",2006,26
"2435","maddugr01",2006,0
"2436","maddugr01",2006,0
"2437","martipe02",2006,0
"2438","piazzmi01",2006,22
"2439","rodriiv01",2006,13
"2440","smoltjo01",2006,0
"2441","thomafr04",2006,39
"2442","thomeji01",2006,42
"2443","biggicr01",2007,10
"2444","glavito02",2007,0
"2445","griffke02",2007,30
"2446","guerrvl01",2007,27
"2447","hoffmtr01",2007,0
"2448","johnsra05",2007,0
"2449","jonesch06",2007,29
"2450","maddugr01",2007,0
"2451","martipe02",2007,0
"2452","piazzmi01",2007,8
"2453","rodriiv01",2007,11
"2454","smoltjo01",2007,0
"2455","thomafr04",2007,26
"2456","thomeji01",2007,35
"2457","glavito02",2008,0
"2458","griffke02",2008,15
"2459","griffke02",2008,3
"2460","guerrvl01",2008,27
"2461","hoffmtr01",2008,0
"2462","johnsra05",2008,0
"2463","jonesch06",2008,22
"2464","maddugr01",2008,0
"2465","maddugr01",2008,0
"2466","martipe02",2008,0
"2467","rodriiv01",2008,5
"2468","rodriiv01",2008,2
"2469","smoltjo01",2008,0
"2470","thomafr04",2008,3
"2471","thomafr04",2008,5
"2472","thomeji01",2008,34
"2473","griffke02",2009,19
"2474","guerrvl01",2009,15
"2475","hoffmtr01",2009,0
"2476","johnsra05",2009,0
"2477","jonesch06",2009,18
"2478","martipe02",2009,0
"2479","rodriiv01",2009,8
"2480","rodriiv01",2009,2
"2481","smoltjo01",2009,0
"2482","smoltjo01",2009,0
"2483","thomeji01",2009,23
"2484","thomeji01",2009,0
"2485","griffke02",2010,0
"2486","guerrvl01",2010,29
"2487","hoffmtr01",2010,0
"2488","jonesch06",2010,10
"2489","rodriiv01",2010,4
"2490","thomeji01",2010,25
"2491","guerrvl01",2011,13
"2492","jonesch06",2011,18
"2493","rodriiv01",2011,2
"2494","thomeji01",2011,12
"2495","thomeji01",2011,3
"2496","jonesch06",2012,14
"2497","thomeji01",2012,5
"2498","thomeji01",2012,3
