lat,long,gid,Name,description,tessellate
-122.013728385717,47.6648207492444,"1",St Jude Our Lady of Sorrows line,,"1"
-122.078981963819,47.6479974145503,"2",196th,,"1"
-122.087596806755,47.5932618050127,"3",West Edge,,"1"
-121.997594226447,47.5445094367914,"4",East from Sammamish Pkwy,,"1"
-121.970210447407,47.548134729852,"5",277th,,"1"
-121.961741268821,47.551909477805,"6",56th,,"1"
-121.95327990928,47.5700615611291,"7",192nd,,"1"
-121.96366917805,47.6220961202225,"8",Red Fall City Rd,,"1"
